"Abborre;100;0;359;86;0;0,6;21,4;0;0,24;16;33"
"Abborre kokt;100;0;453;108;0;0,8;26,98;0;0,31;21;200"
"Abborrfil‚ panerad stekt;100;0,3;599;143;3,8;5,7;18,84;0;0,44;21;450"
"A-fil 3% fett;100;0;251;60;4,8;3;0,02;0;0,04;116;41"
"After eight;100;0;1713;409;88,1;4,6;0;0;2,01;19;3"
"Agar torkad;100;0;1313;314;74,3;0,3;0;0;9;690;4"
"Ajvar relish gr”nsakspasta m paprika aubergin;100;3,2;294;70;6,9;3,5;0;61;0,9;11;493"
"Alfalfagroddar;100;3;133;32;0,9;0,7;0;8;1;32;6"
"All-Bran FiberBar Naturell;100;16,5;1867;446;49,9;20,8;0,46;0;8;86;361"
"Aloe Berry nectar Forever Living Products;100;0;162;39;9,1;0,2;0;83;0;36;17"
"Aloe Vera Juice med gr”nt te Naturapoteket;100;0;124;30;6,5;0,4;0;0;0;5;7"
"Aloe Vera Juice Sasco;100;0;12;3;0,5;0,1;0;0;0;17;38"
"Aloe Vera Juice Syreberikad Hela Pharma AB;100;0;15;4;0,5;0,2;0;0;0;1;2"
"Aloe Vera naturell Forever Living Products;100;0;78;19;4,4;0,1;0;54;0;20;26"
"Alpro soja;100;0;786;188;5,2;17,5;0;0;0,26;11;55"
"Ambrosiakaka;100;0,8;1836;439;54,6;22;1,56;1;0,68;133;295"
"Amerikanska cookies choklad;100;2,5;2032;486;63,3;22,9;0;0;2,71;55;323"
"Amerikanska muffins ospec;100;1,6;1804;431;46,8;24,3;0;0;1,07;35;292"
"Ananas;100;1,2;230;55;11,7;0,4;0;15;0,2;7;1"
"Ananas konserv m juice;100;1;260;62;14,2;0,1;0;10;0,3;14;1"
"Ananas konserv m medels”t lag;100;1;362;87;20,2;0,1;0;7;0,3;14;1"
"Ananas- och citronfromage;100;0,5;773;185;19,4;10,6;0,23;4;0,4;29;22"
"Ananasjuice konserv drickf;100;0,5;230;55;12,8;0,1;0;11;0,3;17;1"
"Andbr”st;100;0;497;119;0;4,3;0,4;0;4,5;3;57"
"Anka m skinn;100;0;1ÿ657;396;0;39,5;1,4;3;1,2;11;63"
"Ansjovis skarpsill inlagd;100;0;898;215;11,8;13,1;0,21;0;1,3;99;2ÿ750"
"Apelsin;100;1,9;216;52;10,8;0,1;0;53;0,2;46;0"
"Apelsinjuice f„rskpressad;100;0,1;200;48;10,6;0,2;0;50;0,2;11;1"
"Apelsinjuice past”riserad drickf;100;0,1;181;43;9,8;0,1;0;35;0,4;8;2"
"Apelsinmarmelad;100;0,7;976;233;56,9;0;0;5;0,3;20;20"
"Apelsinmarmelad l„ttsockrad;100;0,7;774;185;44,5;0,1;0;5;0,1;10;20"
"Apelsinnektar past”riserad os”tad drickf berik;100;0;131;31;7,2;0;0;15;0,1;6;1"
"Apelsinris;100;1;648;155;14,6;9,9;0,07;20;0,16;42;7"
"Apelsinsaft berik drickf;100;0;128;31;7,5;0;0;25;0;1;4"
"Apelsinsaft berik konc;100;0;813;194;47,5;0;0;140;0;4;22"
"Apelsinsallad;100;1,9;249;59;12,8;0,1;0;39;0,2;45;0"
"Apelsinskal;100;3,7;433;104;21,8;0,2;0;136;0,8;161;3"
"Apelsinsoppa;100;0,4;220;53;12,1;0,1;0;16;0,11;16;2"
"Aprikos;100;2,1;214;51;9,3;0,4;0;10;0,5;14;1"
"Aprikoser konserv m juice;100;1,6;217;52;11,4;0;0;5;0,3;12;4"
"Aprikoser konserv m medels”t lag;100;1,3;494;118;27,7;0,1;0;3;0,4;9;4"
"Aprikoser torkade;100;12;1ÿ024;245;49,9;0,5;0;2;6;45;10"
"Aprikosnektar past”riserad drickf;100;1,3;242;58;13,1;0,1;0;0;0,4;7;1"
"Arraksboll;100;1,9;1ÿ922;459;59,3;21,6;0,72;0;2,54;44;110"
"Aubergine;100;2,5;105;25;3,7;0,1;0;2;0,6;18;2"
"Aubergine kokt;100;2,7;112;27;3,9;0,1;0;1;0,65;20;297"
"Aubergine stekt;100;2,5;247;59;3,8;3,9;0;1;0,63;21;298"
"Avokado;100;3,3;701;168;4,4;15,3;0;8;1;11;10"
"Avorio ris;100;1,2;1ÿ499;358;78,1;1,3;0;0;0,3;5;1"
"Bacon gris;100;0;1ÿ441;345;0;32,8;0,48;0;0,6;7;820"
"Bacon l„ttbacon gris;100;0;476;114;0;3,5;0,1;0;0,58;7;1ÿ327"
"Bacon magert gris r”kt stekt;100;0;1ÿ252;299;0;9,1;0,26;0;1,53;19;3ÿ491"
"Bagel m r”kt lax philadelphiaost sallad;100;2,5;886;212;26,8;7;2,45;0;0,57;25;544"
"Bagel m salami philadelphiaost sallad oliv;100;2,9;695;166;17,2;7,5;0,1;3;0,82;43;328"
"Baguette grov m ost skinka sallad l„ttmajonn„s;100;3,5;768;184;25,9;4,6;0,1;0;0,96;72;335"
"Baguette grov m skaldjur tonfisk sm”genr”ra sallad;100;2,9;790;189;26,2;6,1;0,1;1;0,84;29;292"
"Baguette m rostbiff potatissallad sallad;100;2,5;824;197;28,4;5,7;0,1;0;0,84;25;403"
"Baguette m salami brieost soltorkad tomat sallad;100;1,9;1ÿ006;240;19,7;13,4;0,21;0;0,87;105;715"
"Bakad potatis m kesor”ra paprika;100;2,4;390;93;15,8;0,9;0,1;0;0,41;15;151"
"Bakad potatis m kycklingcurryr”ra sallad;100;3;652;156;7,1;12,2;0,2;6;0,46;15;113"
"Bakad potatis m skagenr”ra sallad;100;2,7;666;159;11,2;10,8;0,1;6;0,35;27;151"
"Bakpulver;100;0,5;727;174;42,4;0;0;0;0;11ÿ300;11ÿ800"
"Bambuskott konserv u lag;100;0,5;100;24;3,1;0,4;0;1;0,3;8;7"
"Banan;100;1,7;423;101;22;0,5;0;9;0,4;6;1"
"Banan torkad;100;7,5;1ÿ567;374;80,8;1,8;0;7;1,2;22;3"
"Basilika f„rsk;100;3,9;104;25;0,4;0,6;0;18;3,17;154;4"
"Basmatiris kokt;100;0,2;499;119;25,5;0,3;0;0;0,14;7;361"
"Basmatiris okokt;100;0,5;1ÿ501;359;76,7;1;0;0;0,4;18;0"
"Bearnaise s†s fett 44% Spisa Rydbergs;100;0;1ÿ432;342;5,9;35,5;0;0;0,09;35;484"
"B‚arnaises†s;100;0,1;1ÿ803;431;1,4;46,9;0,59;1;0,95;28;326"
"Bearnaises†s fett 8% Kelda;100;0;468;112;7,7;8;0;0;0,07;43;562"
"B‚arnaises†s fryst el pulver tillagad;100;0;935;224;6,7;21;0,2;0;0,3;62;520"
"Biff … la Lindstr”m stekt fryst;100;2,4;805;193;5,8;12,7;0,63;0;1,6;39;760"
"Biff … la Lindstr”m stekt hemlagad;100;0,7;618;148;6,1;8,1;0,59;2;1,7;16;345"
"Biff m bambuskott restaurang;100;1,2;405;97;2,4;5,8;0,1;1;0,88;10;700"
"Biff m gr”nsaker o s†s n”tk”tt kinesisk r„tt;100;0,9;488;117;5,5;7,2;0,23;5;1,6;14;560"
"Biff m l”k o s†s n”tk”tt kinesisk r„tt;100;0,5;779;186;3,7;12,9;0,23;5;2,1;18;450"
"Biff ryggbiff n”t;100;0;513;123;0;3,9;0,5;0;2,2;6;58"
"Biff ryggbiff n”t stekt;100;0;673;161;0;5,1;0,66;0;2,89;8;180"
"Biff Stroganoff n”tk”tt;100;0,5;738;176;3,2;10,2;0,4;2;1,85;42;488"
"Biff Stroganoff n”tk”tt fryst;100;0,4;450;108;4,8;4,4;0,86;0;1,5;36;730"
"Bj”rnb„r;100;5,9;184;44;6,5;0,4;0;21;0,6;32;2"
"Bj”rnb„r frysta;100;7,2;243;58;8,8;0,5;0;5;0,4;20;1"
"Bj”rnb„r sockrade frysta;100;6;288;69;12;0,5;0;10;0,4;18;1"
"Bj”rnb„rssylt;100;2,4;727;174;41,2;0,1;0;0;0,5;20;50"
"Blod gris;100;0;304;73;0,4;0,4;0,1;0;39,5;7;205"
"Blod n”t;100;0;294;70;0;0,4;0,1;0;35,5;7;330"
"Blodbr”d  h†rt;100;6;1ÿ533;366;65,5;1,9;0,87;0;19,8;36;160"
"Blodbr”d paltbr”d;100;4,7;1ÿ199;287;47,8;2,8;0,9;0;26;41;350"
"Blodpalt;100;4,7;712;170;21,9;4,2;0,9;0;13,3;18;350"
"Blodpudding 13% fett stekt;100;2,5;1ÿ156;276;21,7;15,2;1,09;0;20,65;18;435"
"Blodpudding 8% fett stekt;100;2,2;921;220;18,8;9,8;0,11;0;18,48;18;435"
"Blodpudding blodkorv 14% fett;100;2,3;1ÿ063;254;20;14;1;0;19;17;400"
"Blodpudding blodkorv 19% fett;100;2,3;1ÿ259;301;21;19;0,9;0;17,7;19;350"
"Blodpudding ca 10% fett;100;2;847;203;17,3;9;0,1;0;17;17;400"
"Blomk†l;100;2,4;118;28;3,9;0,2;0;73;0,36;17;7"
"Blomk†l fryst;100;1,9;99;24;2,3;0,3;0;49;0,5;22;9"
"Blomk†l gratinerad;100;1,4;298;71;5;3,9;0,06;20;0,34;68;195"
"Blomk†l kokt utan salt;100;2,3;114;27;3,7;0,2;0;32;0,35;17;7"
"Blomk†lssoppa pulver tillagad m vatten mj”lk;100;0,3;213;51;5,9;2,2;0;0;0,11;33;374"
"Blomk†lsstuvning;100;1,5;239;57;5,9;2,3;0,01;19;0,27;55;138"
"Bl†b„r;100;3,1;221;53;9,1;0,8;0;5;0,6;23;3"
"Bl†b„r frysta;100;3,1;181;43;7,6;0,5;0;5;0,6;20;3"
"Bl†b„r sockrade frysta;100;3,1;346;83;18,3;0,1;0;1;0,4;6;3"
"Bl†b„r torkade;100;10;1ÿ382;330;69,8;1;0;3;4,8;140;16"
"Bl†b„rssoppa;100;1;167;40;8,6;0,2;0;1;0,19;10;2"
"Bl†b„rssoppa past”riserad berik;100;0,3;193;46;10,9;0;0;25;0,1;5;6"
"Bl†b„rssylt;100;1,5;620;148;34,9;0,3;0;0;0,3;13;50"
"Bl„ckfisk;100;0;312;75;0;0,9;1,3;0;0,5;12;365"
"Bog gris;100;0;574;137;0;7;0,57;0;1,5;7;44"
"Bog m„rgpipa n”t;100;0;494;118;0;3,7;0,6;0;2,3;6;69"
"Bogbladsstek gris r†;100;0;574;137;0;7;0,57;0;1,5;7;65"
"Bogfl„sk stekt gris;100;0;828;198;0;10,1;0,82;0;2,17;11;206"
"Bondb”nor;100;4,2;279;67;7,5;0,6;0;33;1,9;22;5"
"Bondb”nor torkade;100;16,4;1ÿ331;318;41,9;1,7;0;0;7,1;102;13"
"Bondomelett;100;0,6;446;107;8;4,1;0,49;3;0,97;25;469"
"Bordsmargarin Becel Gold fett 70% berikad ;100;0;2ÿ597;621;0;70;10;0;0;0;500"
"Bordsmargarin Bregott fett 75% berikad ;100;0;2ÿ792;667;0,5;75;7,5;0;0,2;18;470"
"Bordsmargarin Bregott havssaltat fett 80% berikad ;100;0;2ÿ977;712;0,5;80;7,5;0;0,2;18;2ÿ000"
"Bordsmargarin Bregott mellan fett 60% berikad ;100;0;2ÿ271;543;2;60;7,5;0;0,2;18;395"
"Bordsmargarin Carlshamn L„ttL„tt fett 30% berikad ;100;0;1ÿ249;299;8;30;7,5;0;0;0;600"
"Bordsmargarin Carlshamn Mj”lkfritt fett 80% berikad ;100;0;2ÿ960;707;0;80;7,5;0;0;0;400"
"Bordsmargarin Carlshamn Runda Bords fett 60% berikad ;100;0;2ÿ246;537;1,2;60;7,5;0;0;0;600"
"Bordsmargarin Milda extrasaltat fett 70% berikad ;100;0;2ÿ602;622;0,4;70;10;0;0;0;600"
"Bordsmargarin Milda normalsaltat fett 70% berikad ;100;0;2ÿ602;622;0,4;70;10;0;0;0;500"
"Bostongurka;100;1,8;328;79;16,6;0,4;0;0;0,1;3;600"
"Bovete hela el krossade korn;100;5,8;1ÿ419;339;65,3;2;0;0;3,8;18;1"
"Bovetegr”t;100;1,1;268;64;13,1;0,3;0;0;0,68;8;119"
"Bovetemj”l ljust;100;1,9;1ÿ493;357;76;2;0;0;2,1;8;1"
"Braxen;100;0;432;103;0;4;5,5;0;0,4;63;43"
